ticker,volume,open,close,high,low,time,transactions
AAPL,1456,210.05,210.05,210.05,210.05,1752048060000,72
AAPL,551,210.10,210.10,210.10,210.10,1752048240000,21
AAPL,309,210.15,210.15,210.15,210.15,1752048360000,3
AAPL,704,210.10,210.10,210.10,210.10,1752048600000,13
AAPL,1117,210.01,210.01,210.01,210.01,1752049020000,26
AAPL,1078,210.01,210.01,210.01,210.01,1752049080000,74
AAPL,534,209.90,209.90,209.90,209.90,1752049740000,11
AAPL,120,210.05,210.05,210.05,210.05,1752049920000,6
AAPL,490,210.01,210.01,210.01,210.01,1752050820000,13
AAPL,602,210.17,210.18,210.18,210.17,1752052560000,14
AAPL,2825,210.22,210.39,210.39,210.22,1752052620000,65
AAPL,768,210.37,210.35,210.37,210.35,1752052680000,17
AAPL,879,210.38,210.39,210.39,210.38,1752052860000,22
AAPL,230,210.46,210.46,210.46,210.46,1752052980000,8
AAPL,137,210.36,210.36,210.36,210.36,1752053280000,3
AAPL,413,210.36,210.36,210.36,210.36,1752053340000,8
AAPL,769,210.49,210.49,210.49,210.49,1752053460000,24
AAPL,297,210.53,210.53,210.53,210.53,1752053700000,10
AAPL,541,210.49,210.49,210.49,210.49,1752053760000,21
AAPL,631,210.49,210.49,210.49,210.49,1752054000000,8
AAPL,781,210.67,210.68,210.68,210.67,1752054180000,26
AAPL,218,210.62,210.62,210.62,210.62,1752054480000,5
AAPL,3029,210.59,210.57,210.59,210.57,1752054600000,55
AAPL,823,210.49,210.49,210.49,210.49,1752054720000,15
AAPL,1136,210.48,210.48,210.48,210.48,1752054840000,31
AAPL,1788,210.38,210.24,210.38,210.24,1752054960000,41
AAPL,542,210.25,210.25,210.25,210.25,1752055680000,11
AAPL,1574,210.21,210.20,210.21,210.20,1752055860000,43
AAPL,898,210.20,210.20,210.20,210.20,1752055920000,30
AAPL,309,210.30,210.30,210.30,210.30,1752056340000,15
AAPL,820,210.24,210.24,210.24,210.24,1752056820000,13
AAPL,3529,210.30,210.10,210.30,210.10,1752057060000,99
AAPL,3801,210.10,209.98,210.10,209.91,1752057120000,114
AAPL,403,210.01,210.01,210.01,210.01,1752057180000,10
AAPL,2289,210.02,210.08,210.08,210.02,1752057240000,14
AAPL,493,210.10,210.10,210.10,210.10,1752057420000,8
AAPL,826,210.02,209.97,210.02,209.97,1752057480000,34
AAPL,2102,209.95,209.90,209.95,209.90,1752057540000,45
AAPL,288,209.94,209.94,209.94,209.94,1752057600000,14
AAPL,666,209.87,209.87,209.87,209.87,1752057720000,33
AAPL,1685,209.95,209.95,209.95,209.95,1752057780000,32
AAPL,726,209.89,209.91,209.91,209.89,1752057840000,13
AAPL,377,209.90,209.90,209.90,209.90,1752057960000,11
AAPL,732,209.97,209.99,209.99,209.96,1752058080000,17
AAPL,114,209.99,209.99,209.99,209.99,1752058140000,6
AAPL,1397,210.00,209.99,210.00,209.99,1752058200000,36
AAPL,166,210.00,210.00,210.00,210.00,1752058260000,7
AAPL,1131,210.00,210.00,210.00,210.00,1752058560000,28
AAPL,1690,209.92,209.91,209.92,209.91,1752058620000,43
AAPL,225,209.91,209.91,209.91,209.91,1752058740000,9
AAPL,1463,209.91,209.96,209.96,209.91,1752058800000,18
AAPL,479,209.90,209.90,209.90,209.90,1752058860000,11
AAPL,1375,209.95,209.95,209.95,209.95,1752058920000,18
AAPL,268,209.92,209.92,209.92,209.92,1752059100000,6
AAPL,323,209.89,209.89,209.89,209.89,1752059160000,16
AAPL,387,209.90,209.90,209.90,209.90,1752059220000,15
AAPL,587,209.90,209.90,209.90,209.90,1752059280000,19
AAPL,228,209.93,209.93,209.93,209.93,1752059340000,13
AAPL,218,209.91,209.91,209.91,209.91,1752059520000,12
AAPL,933,209.93,209.93,209.93,209.93,1752059640000,20
AAPL,901,209.93,209.88,209.93,209.88,1752059760000,15
AAPL,545,209.87,209.87,209.87,209.87,1752059820000,12
AAPL,150,209.90,209.90,209.90,209.90,1752060000000,9
AAPL,801,209.95,209.93,209.96,209.93,1752060120000,17
AAPL,303,209.93,209.94,209.94,209.93,1752060180000,8
AAPL,1312,210.00,210.00,210.00,210.00,1752060240000,41
AAPL,618,210.00,210.00,210.00,210.00,1752060300000,9
AAPL,306,210.01,210.01,210.01,210.01,1752060360000,13
AAPL,1479,210.01,209.93,210.01,209.93,1752060480000,42
AAPL,1141,210.00,210.04,210.04,210.00,1752060600000,25
AAPL,200,210.02,210.02,210.02,210.02,1752060840000,2
AAPL,952,210.03,210.05,210.05,210.03,1752060960000,25
AAPL,2379,210.09,210.10,210.10,210.09,1752061020000,30
AAPL,588,210.16,210.20,210.20,210.16,1752061080000,15
AAPL,4613,210.18,210.12,210.18,210.12,1752061200000,30
AAPL,1737,210.13,210.14,210.14,210.13,1752061380000,10
AAPL,490,210.14,210.14,210.14,210.14,1752061440000,21
AAPL,1983,210.11,210.10,210.11,210.10,1752061680000,68
AAPL,329,210.05,210.05,210.05,210.05,1752061740000,12
AAPL,9130,210.05,210.00,210.05,210.00,1752061800000,59
AAPL,1278,210.04,210.08,210.08,210.04,1752061980000,38
AAPL,1586,209.94,209.94,209.94,209.92,1752062100000,47
AAPL,1742,209.92,209.90,209.92,209.90,1752062160000,47
AAPL,1799,209.86,209.82,209.86,209.82,1752062220000,70
AAPL,270,209.90,209.90,209.90,209.90,1752062280000,6
AAPL,54138,209.94,209.93,210.61,209.80,1752062400000,1599
AAPL,1996,209.93,210.03,210.03,209.92,1752062520000,148
AAPL,462,210.01,209.96,210.01,209.96,1752062580000,25
AAPL,394,209.91,209.91,209.91,209.91,1752062640000,23
AAPL,1116,209.96,209.96,209.96,209.96,1752062700000,23
AAPL,1454,209.98,210.01,210.01,209.98,1752062760000,49
AAPL,407,210.01,210.01,210.01,210.01,1752063060000,29
AAPL,113,210.05,210.05,210.05,210.05,1752063180000,7
AAPL,978,210.08,210.08,210.08,210.08,1752063240000,50
AAPL,1750,210.05,210.05,210.05,210.05,1752063300000,40
AAPL,4450,210.03,210.03,210.10,210.03,1752063360000,24
AAPL,131,210.03,210.03,210.03,210.03,1752063420000,8
AAPL,142,210.07,210.07,210.07,210.07,1752063480000,15
AAPL,1129,210.07,210.07,210.07,210.07,1752063720000,10
AAPL,399,210.03,210.03,210.03,210.03,1752063780000,17
AAPL,461,210.08,210.08,210.08,210.08,1752063840000,16
AAPL,1948,210.05,210.08,210.08,210.05,1752063900000,21
AAPL,3375,210.03,209.94,210.03,209.94,1752063960000,100
AAPL,1691,209.94,209.94,209.95,209.94,1752064020000,29
AAPL,2199,209.99,209.95,209.99,209.95,1752064080000,21
AAPL,2364,209.95,210.04,210.04,209.95,1752064140000,30
AAPL,928,209.95,209.95,209.95,209.95,1752064200000,26
AAPL,532,209.95,209.95,209.95,209.95,1752064260000,8
AAPL,1580,209.96,209.94,209.96,209.91,1752064320000,50
AAPL,256,209.93,209.93,209.93,209.93,1752064380000,16
AAPL,694,209.96,209.96,209.96,209.96,1752064440000,21
AAPL,1129,209.94,209.96,209.96,209.94,1752064500000,32
AAPL,1009,210.00,210.00,210.00,210.00,1752064560000,39
AAPL,1863,209.96,209.99,209.99,209.96,1752064620000,58
AAPL,2523,210.02,209.94,210.02,209.94,1752064680000,50
AAPL,1490,209.99,209.97,209.99,209.97,1752064740000,20
AAPL,1392,209.96,209.99,209.99,209.96,1752064800000,27
AAPL,1957,209.99,210.02,210.02,209.97,1752064860000,58
AAPL,2399,210.01,210.00,210.01,209.99,1752064920000,33
AAPL,1220,210.04,210.00,210.07,210.00,1752064980000,34
AAPL,4257,210.05,210.05,210.08,210.04,1752065040000,36
AAPL,886,210.03,210.06,210.06,210.03,1752065100000,23
AAPL,2879,210.09,210.14,210.14,210.07,1752065160000,62
AAPL,2729,210.10,210.22,210.22,210.10,1752065220000,74
AAPL,3004,210.24,210.22,210.24,210.21,1752065280000,30
AAPL,2172,210.20,210.21,210.21,210.20,1752065340000,60
AAPL,66435,210.12,209.78,210.13,209.30,1752065400000,937
